ACCx,ACCy,ACCz,GYROx,GYROy,GYROz,Magx,Magy,Magz,时间[yyyy-mm-dd|hh:mm:ss.ss]
加速度分辨率: 16384LBS/g,陀螺仪分辨率: 32.8LBS/dps
0,0,0,20,0,0,89,312,131,2016/8/6|23:03:11.145
0,0,0,20,0,0,99,312,135,2016/8/6|23:03:11.145
0,0,0,20,0,0,92,-103,133,2016/8/6|23:03:11.171
0,0,0,20,0,0,81,-103,128,2016/8/6|23:03:11.196
0,0,0,20,0,0,86,209,127,2016/8/6|23:03:11.208
0,0,0,20,0,0,95,209,129,2016/8/6|23:03:11.223
0,0,0,20,0,0,98,0,128,2016/8/6|23:03:11.233
0,0,0,20,0,0,96,0,125,2016/8/6|23:03:11.261
0,0,0,20,0,0,98,209,125,2016/8/6|23:03:11.273
0,0,0,20,0,0,102,209,127,2016/8/6|23:03:11.275
0,0,0,20,0,0,95,-208,123,2016/8/6|23:03:11.294
0,0,0,19,0,0,82,-208,115,2016/8/6|23:03:11.295
0,0,0,19,0,0,83,312,116,2016/8/6|23:03:11.316
0,0,0,19,0,0,89,312,120,2016/8/6|23:03:11.335
0,0,0,19,0,0,80,0,119,2016/8/6|23:03:11.357
0,0,0,19,0,0,70,0,116,2016/8/6|23:03:11.368
0,0,0,19,0,0,77,417,120,2016/8/6|23:03:11.381
0,0,0,19,0,0,92,417,126,2016/8/6|23:03:11.390
0,0,0,20,0,0,104,209,130,2016/8/6|23:03:11.411
0,0,0,20,0,0,114,209,132,2016/8/6|23:03:11.424
0,0,0,20,0,0,122,0,131,2016/8/6|23:03:11.433
0,0,0,20,0,0,123,0,128,2016/8/6|23:03:11.452
0,0,0,19,0,0,122,104,127,2016/8/6|23:03:11.476
0,0,0,19,0,0,119,104,127,2016/8/6|23:03:11.477
0,0,0,19,0,0,110,104,126,2016/8/6|23:03:11.493
0,0,0,19,0,0,107,104,126,2016/8/6|23:03:11.506
0,0,0,19,0,0,110,-103,123,2016/8/6|23:03:11.525
0,0,0,19,0,0,105,-103,118,2016/8/6|23:03:11.536
0,0,0,19,0,0,101,209,117,2016/8/6|23:03:11.558
0,0,0,19,0,0,104,209,119,2016/8/6|23:03:11.570
0,0,0,19,0,0,104,-103,117,2016/8/6|23:03:11.592
0,0,0,19,0,0,97,-103,112,2016/8/6|23:03:11.598
0,0,0,18,0,0,89,104,110,2016/8/6|23:03:11.628
0,0,0,18,0,0,91,104,109,2016/8/6|23:03:11.629
0,0,0,18,0,0,101,0,107,2016/8/6|23:03:11.654
0,0,0,18,0,0,102,0,105,2016/8/6|23:03:11.681
0,0,0,18,0,0,89,0,102,2016/8/6|23:03:11.690
0,0,0,18,0,0,80,0,99,2016/8/6|23:03:11.704
0,0,0,18,0,0,89,312,101,2016/8/6|23:03:11.714
0,0,0,18,0,0,96,312,105,2016/8/6|23:03:11.734
0,0,0,18,0,0,86,104,106,2016/8/6|23:03:11.767
0,0,0,18,0,0,76,104,106,2016/8/6|23:03:11.768
0,0,0,18,0,0,62,-208,101,2016/8/6|23:03:11.770
0,0,0,18,0,0,47,-208,94,2016/8/6|23:03:11.788
0,0,0,17,0,0,47,104,91,2016/8/6|23:03:11.791
0,0,0,17,0,0,50,104,91,2016/8/6|23:03:11.822
0,0,0,17,0,0,50,104,91,2016/8/6|23:03:11.837
0,0,0,17,0,0,50,104,90,2016/8/6|23:03:11.842
0,0,0,17,0,0,53,209,92,2016/8/6|23:03:11.858
0,0,0,17,0,0,61,209,94,2016/8/6|23:03:11.888
0,0,0,17,0,0,74,209,96,2016/8/6|23:03:11.903
0,0,0,17,0,0,83,209,98,2016/8/6|23:03:11.903
0,0,0,17,0,0,83,209,100,2016/8/6|23:03:11.914
0,0,0,17,0,0,87,209,103,2016/8/6|23:03:11.929
0,0,0,18,0,0,101,209,105,2016/8/6|23:03:11.948
0,0,0,18,0,0,111,209,107,2016/8/6|23:03:11.975
0,0,0,18,0,0,119,312,111,2016/8/6|23:03:11.975
0,0,0,18,0,0,129,312,116,2016/8/6|23:03:11.990
0,0,0,18,0,0,142,312,121,2016/8/6|23:03:12.4
0,0,0,19,0,0,156,312,126,2016/8/6|23:03:12.20
